# -------------------------------------------------
# 
# Thou invoked Nightfall, and it answered thy plea.
# 
#   Thy Name is Pierre Maxted, 
#     and thy time is Wed Sep 21 16:46:17 2016
# 
# -------------------------------------------------
# 
# System Parameters (elliptic orbit):
# 
#   <Eccentricity>     0.150  (dimensionless)
#   <Omega>          120.000  (degree)
#   <Inclination>     80.000  (degree)
#   <Mass Ratio>       2.000  (dimensionless)
#   <Lagrange One>     0.429  (dimensionless)
# 
# -------------------------------------------------
# 
# Model used:
# 
#   <Flux>                  Blackbody
#   <Fractional visibility> On
#   <Limb darkening>        square root
#   <Detailed reflection>   0
# 
# -------------------------------------------------
# 
# System Size (absolute units):
# 
#   <Period>        2.223e+07  (seconds)
#   <Total Mass>    3.978e+30  (kilogramm)
#   <Distance>      1.492e+11  (meter)
#   <Lagrange One>  5.444e+10  (meter)
# 
#   <Period>         257.248  (days)
#   <Total Mass>       2.000  (solar mass)
#   <Distance>       214.372  (solar radius)
#   <Lagrange One>    78.216  (solar radius)
# 
# -------------------------------------------------
# 
# Component Parameters:
#                    Primary  Secondary
#   <Max Velocity>    28.009     14.004   (km/sec)
# 
#   <Mass>             0.333      0.667   (dimensionless)
#   <Gravity>         28.808   17457.877   (dimensionless)
#   <Polar Radius>     0.166      0.007   (dimensionless)
#   <Point Radius>  0.171532   0.006876   (dimensionless)
#   <Mean Radius>   0.166822   0.007043   (dimensionless)
#   <Volume>        0.019922   0.000001   (dimensionless)
# 
#   <Mass>          1.33e+30   2.65e+30   (kilogramm)
#   <Gravity>          0.114     69.386   (m kg/s^2)
#   <Polar Radius>  2.48e+10   1.03e+09   (meter)
#   <Point Radius>  2.56e+10   1.03e+09   (meter)
#   <Mean Radius>   2.49e+10   1.05e+09   (meter)
#   <Volume>        6.62e+31   4.86e+27   (cubic meter)
# 
#   <Mass>             0.667      1.333   (solar mass)
#   <Polar Radius>    35.602      1.474   (solar radius)
#   <Point Radius>    36.772      1.474   (solar radius)
#   <Mean Radius>     35.762      1.510   (solar radius)
#   <Volume>        196266.087     14.414   (solar volumes)
# 
#   <Mean Temp.>     20000.0     3143.2   (Kelvin)
# 
# -------------------------------------------------
# 
#                    Primary  Secondary
#   <Fill Factor>      0.650      0.020   (dimensionless)
#   <Temperature>    20000.0     2000.0   (Kelvin)
#   <Asynchronicity>   1.000      1.000   (dimensionless)
#   <Albedo>           1.000      0.500   (dimensionless)
#   <Grav. Dark.>      0.250      0.055   (dimensionless)
# 
# -------------------------------------------------
# 
#   <Surface Potential Primary>        7.4376   (dimensionless)
#   <Lagrange 1 Potential>             5.2517   (dimensionless)
#   <Lagrange 2 Potential>             4.6545   (dimensionless)
#   <Surface Potential Secondary>    132.6283   (dimensionless)
#   <... in Primary frame>           264.7566   (dimensionless)
#   <Secondary eclipse begin>      --no eclipse--
#   <Secondary totality begin>     --no totality--
#   <Primary eclipse begin>        383541.8886   (minutes +/- 185.22)
#   <Primary eclipse end>          392802.8315   (minutes +/- 185.22)
#   <Primary totality begin>       --no totality--
# 
# -------------------------------------------------
# 
# <Luminosities>:
#   Band   0:     1.11261e+16      2.9362e+09
#   Band   1:     6.53464e+15     5.47377e+09
#   Band   2:     3.26964e+15     7.81269e+09
#   Band   3:     2.21767e+15      9.4264e+09
#   Band   4:       9.921e+14     9.76215e+09
#   Band   5:     1.96132e+14     6.61895e+09
#   Band   6:     7.47083e+13     3.91668e+09
#   Band   7:     2.33177e+13     1.87599e+09
#   Band   8:     1.15003e+16     2.06441e+09
#   Band   9:     7.34898e+15     4.10376e+09
#   Band  10:     5.07946e+15     5.08681e+09
#   Band  11:     3.15066e+15     7.37099e+09
# 
# -------------------------------------------------
# 
# Spots  (if any)
# 
# 
# -------------------------------------------------
# 
# Fit Results  (if any)
# 
# 
# -------------------------------------------------
# 
# <Normalization> at <Phase> was:
#   Band   0:     1.11287e+16        0.737375
#   Band   1:       6.536e+15        0.737375
#   Band   2:     3.27024e+15        0.737375
#   Band   3:     2.21806e+15        0.737375
#   Band   4:     9.92262e+14        0.737375
#   Band   5:     1.96164e+14        0.737375
#   Band   6:     7.47215e+13        0.737375
#   Band   7:     2.33223e+13        0.737375
#   Band   8:      1.1503e+16        0.737375
#   Band   9:     7.35055e+15        0.737375
#   Band  10:     5.08047e+15        0.737375
#   Band  11:     3.15123e+15        0.737375
# 
# -------------------------------------------------
# 
# SEQ  PHASE  U       B       V       R       I       J       H       K       u       v       b       y     RV(Primary) RV(Secondary) 
# 
     0 -0.2626 -0.000000 -0.000000 -0.000000 -0.000000 -0.000000 -0.000000 -0.000000 -0.000000 -0.000000 -0.000000 -0.000000 -0.000000      -30.12       15.23
   521  0.2584  0.006369  0.006075  0.005646  0.005413  0.005115  0.004763  0.004615  0.004506  0.006417  0.006193  0.005946  0.005648       24.42      -12.34
   522  0.2594  0.006294  0.006003  0.005578  0.005346  0.005050  0.004702  0.004555  0.004447  0.006341  0.006119  0.005875  0.005579       24.47      -12.36
   523  0.2604  0.006221  0.005933  0.005512  0.005282  0.004989  0.004644  0.004498  0.004391  0.006267  0.006048  0.005806  0.005513       24.51      -12.38
   524  0.2614  0.006154  0.005869  0.005453  0.005226  0.004936  0.004595  0.004451  0.004346  0.006200  0.005983  0.005744  0.005454       24.56      -12.41
   525  0.2624  0.006087  0.005804  0.005392  0.005169  0.004882  0.004545  0.004402  0.004298  0.006132  0.005917  0.005680  0.005394        24.6      -12.43
   526  0.2634  0.006019  0.005739  0.005332  0.005111  0.004827  0.004494  0.004353  0.004250  0.006064  0.005851  0.005617  0.005333       24.65      -12.45
   527  0.2644  0.005950  0.005673  0.005270  0.005051  0.004770  0.004441  0.004301  0.004200  0.005995  0.005783  0.005552  0.005271       24.69      -12.47
   528  0.2654  0.005885  0.005610  0.005212  0.004995  0.004718  0.004392  0.004254  0.004154  0.005929  0.005720  0.005490  0.005213       24.73       -12.5
   529  0.2664  0.005822  0.005550  0.005156  0.004943  0.004669  0.004347  0.004211  0.004112  0.005865  0.005658  0.005431  0.005158       24.77      -12.52
   530  0.2674  0.005764  0.005495  0.005106  0.004896  0.004625  0.004308  0.004175  0.004077  0.005807  0.005601  0.005377  0.005107       24.81      -12.54
   531  0.2684  0.005703  0.005436  0.005052  0.004844  0.004578  0.004264  0.004133  0.004037  0.005746  0.005541  0.005320  0.005053       24.85      -12.56
   532  0.2694  0.005639  0.005375  0.004995  0.004790  0.004526  0.004217  0.004087  0.003992  0.005682  0.005479  0.005260  0.004996       24.89      -12.58
   533  0.2704  0.005570  0.005309  0.004933  0.004729  0.004468  0.004161  0.004032  0.003938  0.005612  0.005411  0.005195  0.004934       24.93       -12.6
   534  0.2714  0.005497  0.005239  0.004866  0.004664  0.004405  0.004101  0.003973  0.003879  0.005539  0.005341  0.005126  0.004867       24.97      -12.62
   535  0.2724  0.005429  0.005174  0.004804  0.004604  0.004348  0.004047  0.003920  0.003827  0.005470  0.005275  0.005062  0.004805       25.01      -12.64
   536  0.2734  0.005365  0.005112  0.004747  0.004549  0.004295  0.003997  0.003871  0.003780  0.005405  0.005212  0.005001  0.004748       25.04      -12.66
   537  0.2744  0.005303  0.005052  0.004691  0.004495  0.004244  0.003949  0.003825  0.003735  0.005343  0.005151  0.004943  0.004692       25.08      -12.67
   538  0.2754  0.005244  0.004996  0.004639  0.004446  0.004198  0.003907  0.003784  0.003695  0.005283  0.005093  0.004888  0.004640       25.11      -12.69
   539  0.2764  0.005189  0.004943  0.004591  0.004400  0.004156  0.003869  0.003748  0.003660  0.005228  0.005039  0.004836  0.004591       25.15      -12.71
   540  0.2774  0.005136  0.004892  0.004544  0.004357  0.004115  0.003833  0.003714  0.003628  0.005174  0.004987  0.004786  0.004545       25.18      -12.73
   541  0.2784  0.005077  0.004836  0.004492  0.004306  0.004067  0.003784  0.003664  0.003574  0.005115  0.004930  0.004731  0.004493       25.21      -12.76
   542  0.2794  0.005014  0.004775  0.004434  0.004250  0.004014  0.003737  0.003620  0.003536  0.005051  0.004868  0.004671  0.004435       25.25      -12.76
   543  0.2804  0.004951  0.004714  0.004377  0.004194  0.003959  0.003681  0.003562  0.003474  0.004987  0.004806  0.004612  0.004377       25.28      -12.79
   544  0.2814  0.004891  0.004658  0.004323  0.004143  0.003911  0.003639  0.003525  0.003442  0.004928  0.004749  0.004556  0.004324       25.31       -12.8
   545  0.2824  0.004834  0.004603  0.004272  0.004094  0.003864  0.003592  0.003476  0.003389  0.004870  0.004693  0.004502  0.004273       25.34      -12.82
   546  0.2834  0.004783  0.004553  0.004227  0.004051  0.003825  0.003560  0.003449  0.003368  0.004818  0.004642  0.004454  0.004228       25.37      -12.83
   547  0.2844  0.004736  0.004508  0.004187  0.004014  0.003790  0.003526  0.003414  0.003330  0.004771  0.004596  0.004410  0.004187        25.4      -12.85
   548  0.2854  0.004692  0.004466  0.004149  0.003979  0.003759  0.003499  0.003390  0.003307  0.004727  0.004552  0.004369  0.004149       25.43      -12.87
   549  0.2864  0.004641  0.004417  0.004104  0.003936  0.003719  0.003463  0.003355  0.003274  0.004675  0.004502  0.004321  0.004104       25.45      -12.88
   550  0.2874  0.004585  0.004364  0.004054  0.003888  0.003673  0.003419  0.003312  0.003232  0.004619  0.004448  0.004269  0.004054       25.48      -12.89
   551  0.2884  0.004527  0.004308  0.004001  0.003836  0.003623  0.003372  0.003265  0.003186  0.004561  0.004391  0.004214  0.004001        25.5      -12.91
   552  0.2894  0.004474  0.004257  0.003953  0.003790  0.003580  0.003331  0.003226  0.003147  0.004507  0.004339  0.004163  0.003953       25.53      -12.92
   553  0.2904  0.004419  0.004204  0.003903  0.003742  0.003533  0.003287  0.003183  0.003105  0.004452  0.004286  0.004112  0.003903       25.55      -12.93
   554  0.2914  0.004371  0.004158  0.003860  0.003701  0.003495  0.003252  0.003149  0.003072  0.004403  0.004238  0.004066  0.003860       25.58      -12.95
   555  0.2924  0.004322  0.004111  0.003816  0.003659  0.003455  0.003214  0.003112  0.003036  0.004353  0.004190  0.004020  0.003816        25.6      -12.96
   556  0.2934  0.004271  0.004062  0.003771  0.003615  0.003413  0.003174  0.003073  0.002998  0.004302  0.004141  0.003972  0.003771       25.62      -12.97
   557  0.2944  0.004225  0.004018  0.003729  0.003575  0.003375  0.003139  0.003039  0.002965  0.004255  0.004096  0.003929  0.003729       25.64      -12.98
   558  0.2954  0.004186  0.003980  0.003696  0.003544  0.003347  0.003114  0.003016  0.002943  0.004216  0.004057  0.003892  0.003695       25.66      -12.99
   559  0.2964  0.004153  0.003949  0.003668  0.003520  0.003326  0.003098  0.003002  0.002930  0.004183  0.004024  0.003861  0.003668       25.68         -13
   560  0.2974  0.004110  0.003908  0.003631  0.003484  0.003293  0.003068  0.002973  0.002902  0.004140  0.003982  0.003822  0.003631        25.7      -13.01
   561  0.2984  0.004063  0.003863  0.003588  0.003443  0.003253  0.003030  0.002936  0.002866  0.004093  0.003936  0.003777  0.003588       25.72      -13.02
   562  0.2994  0.004015  0.003816  0.003544  0.003400  0.003212  0.002990  0.002897  0.002827  0.004044  0.003889  0.003731  0.003544       25.74      -13.03
   563  0.3004  0.003974  0.003777  0.003507  0.003365  0.003179  0.002960  0.002868  0.002798  0.004002  0.003849  0.003692  0.003507       25.75      -13.04
   564  0.3014  0.003938  0.003742  0.003476  0.003335  0.003152  0.002936  0.002846  0.002777  0.003966  0.003813  0.003659  0.003476       25.77      -13.05
   565  0.3024  0.003899  0.003705  0.003442  0.003303  0.003122  0.002909  0.002819  0.002752  0.003927  0.003776  0.003623  0.003442       25.79      -13.06
   566  0.3034  0.003861  0.003669  0.003408  0.003271  0.003092  0.002880  0.002792  0.002725  0.003889  0.003738  0.003587  0.003407        25.8      -13.07
   567  0.3044  0.003825  0.003634  0.003376  0.003240  0.003063  0.002853  0.002766  0.002700  0.003852  0.003702  0.003552  0.003375       25.81      -13.07
   568  0.3054  0.003796  0.003606  0.003352  0.003218  0.003043  0.002837  0.002751  0.002687  0.003823  0.003674  0.003526  0.003351       25.83      -13.08
   569  0.3064  0.003765  0.003576  0.003324  0.003192  0.003020  0.002816  0.002731  0.002667  0.003791  0.003643  0.003496  0.003323       25.84      -13.09
   570  0.3074  0.003730  0.003543  0.003293  0.003163  0.002992  0.002790  0.002706  0.002643  0.003756  0.003609  0.003464  0.003292       25.85      -13.09
   571  0.3084  0.003692  0.003507  0.003259  0.003129  0.002959  0.002759  0.002675  0.002612  0.003718  0.003572  0.003428  0.003258       25.86       -13.1
   572  0.3094  0.003660  0.003476  0.003230  0.003102  0.002933  0.002735  0.002653  0.002590  0.003686  0.003541  0.003397  0.003229       25.87       -13.1
   573  0.3104  0.003633  0.003449  0.003207  0.003080  0.002914  0.002718  0.002637  0.002575  0.003658  0.003514  0.003372  0.003206       25.88      -13.11
   574  0.3114  0.003602  0.003420  0.003179  0.003054  0.002889  0.002695  0.002614  0.002553  0.003627  0.003483  0.003343  0.003178       25.88      -13.11
   575  0.3124  0.003577  0.003395  0.003157  0.003033  0.002870  0.002679  0.002599  0.002539  0.003602  0.003458  0.003319  0.003156       25.89      -13.12
   576  0.3134  0.003554  0.003373  0.003137  0.003015  0.002854  0.002665  0.002586  0.002527  0.003578  0.003435  0.003297  0.003136        25.9      -13.12
   577  0.3144  0.003530  0.003350  0.003116  0.002996  0.002836  0.002649  0.002571  0.002513  0.003554  0.003411  0.003274  0.003115        25.9      -13.13
   578  0.3154  0.003507  0.003328  0.003096  0.002977  0.002819  0.002633  0.002556  0.002498  0.003531  0.003389  0.003253  0.003095       25.91      -13.13
   579  0.3164  0.003487  0.003309  0.003079  0.002961  0.002804  0.002620  0.002545  0.002487  0.003510  0.003369  0.003234  0.003077       25.91      -13.13
   580  0.3174  0.003467  0.003290  0.003062  0.002945  0.002790  0.002608  0.002533  0.002476  0.003491  0.003350  0.003216  0.003061       25.91      -13.13
   581  0.3184  0.003452  0.003275  0.003050  0.002934  0.002780  0.002600  0.002526  0.002469  0.003475  0.003334  0.003201  0.003048       25.91      -13.13
   582  0.3194  0.003434  0.003258  0.003034  0.002920  0.002767  0.002588  0.002515  0.002459  0.003457  0.003317  0.003185  0.003032       25.91      -13.14
   583  0.3204  0.003417  0.003242  0.003020  0.002906  0.002755  0.002577  0.002505  0.002449  0.003440  0.003300  0.003169  0.003018       25.91      -13.14
   584  0.3214  0.003403  0.003228  0.003007  0.002895  0.002745  0.002569  0.002497  0.002442  0.003425  0.003285  0.003155  0.003005       25.91      -13.14
   585  0.3224  0.003386  0.003212  0.002992  0.002881  0.002732  0.002557  0.002486  0.002431  0.003408  0.003269  0.003139  0.002990       25.91      -13.14
   586  0.3234  0.003370  0.003196  0.002978  0.002867  0.002719  0.002546  0.002475  0.002421  0.003392  0.003253  0.003124  0.002976       25.91      -13.14
   587  0.3244  0.003358  0.003185  0.002968  0.002858  0.002711  0.002539  0.002468  0.002415  0.003380  0.003241  0.003113  0.002966       25.91      -13.14
   588  0.3254  0.003348  0.003175  0.002959  0.002850  0.002704  0.002533  0.002463  0.002410  0.003370  0.003230  0.003103  0.002957        25.9      -13.13
   589  0.3264  0.003340  0.003167  0.002952  0.002844  0.002699  0.002529  0.002460  0.002407  0.003362  0.003222  0.003095  0.002950        25.9      -13.13
   590  0.3274  0.003331  0.003158  0.002944  0.002836  0.002692  0.002522  0.002453  0.002401  0.003352  0.003213  0.003086  0.002942       25.89      -13.13
   591  0.3284  0.003324  0.003151  0.002938  0.002830  0.002686  0.002517  0.002449  0.002396  0.003344  0.003206  0.003080  0.002935       25.88      -13.13
   592  0.3294  0.003323  0.003150  0.002938  0.002832  0.002689  0.002521  0.002453  0.002401  0.003344  0.003205  0.003079  0.002936       25.87      -13.12
   593  0.3304  0.003319  0.003146  0.002935  0.002829  0.002686  0.002518  0.002451  0.002399  0.003339  0.003201  0.003075  0.002932       25.87      -13.12
   594  0.3314  0.003319  0.003146  0.002935  0.002830  0.002688  0.002521  0.002454  0.002402  0.003339  0.003200  0.003075  0.002933       25.86      -13.12
   595  0.3324  0.003327  0.003154  0.002944  0.002840  0.002699  0.002534  0.002468  0.002417  0.003347  0.003207  0.003083  0.002942       25.84      -13.11
   596  0.3334  0.003332  0.003158  0.002949  0.002846  0.002706  0.002542  0.002476  0.002425  0.003352  0.003211  0.003087  0.002947       25.83      -13.11
   597  0.3344  0.003334  0.003160  0.002952  0.002849  0.002709  0.002545  0.002479  0.002429  0.003354  0.003213  0.003089  0.002949       25.82       -13.1
   598  0.3354  0.003333  0.003159  0.002950  0.002847  0.002707  0.002542  0.002476  0.002425  0.003353  0.003212  0.003088  0.002947       25.81      -13.09
   599  0.3364  0.003340  0.003166  0.002957  0.002854  0.002714  0.002550  0.002485  0.002434  0.003360  0.003219  0.003095  0.002954       25.79      -13.09
   600  0.3374  0.003351  0.003177  0.002968  0.002866  0.002726  0.002563  0.002498  0.002447  0.003371  0.003229  0.003105  0.002965       25.78      -13.08
   601  0.3384  0.003363  0.003187  0.002979  0.002877  0.002737  0.002574  0.002509  0.002458  0.003383  0.003240  0.003116  0.002976       25.76      -13.07
   602  0.3394  0.003373  0.003197  0.002988  0.002885  0.002745  0.002582  0.002516  0.002466  0.003392  0.003250  0.003125  0.002985       25.74      -13.07
   603  0.3404  0.003389  0.003212  0.003003  0.002901  0.002761  0.002597  0.002532  0.002482  0.003408  0.003265  0.003140  0.003000       25.73      -13.06
   604  0.3414  0.003412  0.003234  0.003026  0.002924  0.002785  0.002623  0.002558  0.002508  0.003432  0.003287  0.003162  0.003023       25.71      -13.05
   605  0.3424  0.003435  0.003256  0.003048  0.002946  0.002808  0.002645  0.002581  0.002531  0.003454  0.003308  0.003184  0.003044       25.69      -13.04
   606  0.3434  0.003448  0.003268  0.003059  0.002957  0.002817  0.002653  0.002589  0.002538  0.003467  0.003321  0.003196  0.003055       25.66      -13.03
   607  0.3444  0.003461  0.003281  0.003070  0.002967  0.002826  0.002660  0.002595  0.002544  0.003481  0.003334  0.003208  0.003067       25.64      -13.02
   608  0.3454  0.003483  0.003301  0.003089  0.002986  0.002844  0.002678  0.002612  0.002561  0.003502  0.003355  0.003228  0.003086       25.62      -13.01
   609  0.3464  0.003509  0.003327  0.003114  0.003011  0.002869  0.002703  0.002637  0.002586  0.003529  0.003380  0.003253  0.003111        25.6         -13
   610  0.3474  0.003538  0.003354  0.003141  0.003037  0.002895  0.002729  0.002663  0.002612  0.003558  0.003408  0.003280  0.003137       25.57      -12.99
   611  0.3484  0.003567  0.003382  0.003168  0.003063  0.002921  0.002753  0.002688  0.002636  0.003587  0.003436  0.003307  0.003164       25.54      -12.97
   612  0.3494  0.003604  0.003418  0.003203  0.003099  0.002956  0.002789  0.002723  0.002672  0.003624  0.003471  0.003342  0.003199       25.52      -12.96
   613  0.3504  0.003642  0.003454  0.003238  0.003134  0.002990  0.002823  0.002757  0.002706  0.003662  0.003508  0.003378  0.003234       25.49      -12.95
   614  0.3514  0.003684  0.003494  0.003277  0.003173  0.003029  0.002861  0.002796  0.002745  0.003704  0.003547  0.003417  0.003273       25.46      -12.93
   615  0.3524  0.003725  0.003533  0.003315  0.003211  0.003067  0.002898  0.002833  0.002782  0.003745  0.003587  0.003456  0.003311       25.43      -12.92
   616  0.3534  0.003759  0.003565  0.003345  0.003239  0.003094  0.002923  0.002856  0.002804  0.003779  0.003620  0.003488  0.003341        25.4       -12.9
   617  0.3544  0.003789  0.003594  0.003371  0.003263  0.003115  0.002941  0.002873  0.002820  0.003809  0.003650  0.003516  0.003367       25.37      -12.89
   618  0.3554  0.003827  0.003630  0.003404  0.003295  0.003144  0.002968  0.002899  0.002845  0.003847  0.003687  0.003551  0.003400       25.33      -12.87
   619  0.3564  0.003875  0.003677  0.003449  0.003339  0.003188  0.003011  0.002941  0.002887  0.003896  0.003734  0.003597  0.003445        25.3      -12.86
   620  0.3574  0.003924  0.003724  0.003494  0.003383  0.003230  0.003051  0.002982  0.002927  0.003945  0.003781  0.003643  0.003489       25.27      -12.84
   621  0.3584  0.003978  0.003775  0.003544  0.003432  0.003279  0.003099  0.003029  0.002974  0.003999  0.003833  0.003693  0.003539       25.23      -12.82
   622  0.3594  0.004032  0.003827  0.003594  0.003481  0.003327  0.003146  0.003075  0.003020  0.004054  0.003885  0.003745  0.003589       25.19      -12.81
   623  0.3604  0.004087  0.003880  0.003643  0.003530  0.003374  0.003191  0.003120  0.003064  0.004109  0.003938  0.003796  0.003639       25.15      -12.79
   624  0.3614  0.004139  0.003929  0.003689  0.003574  0.003416  0.003230  0.003158  0.003101  0.004160  0.003988  0.003844  0.003685       25.12      -12.77
   625  0.3624  0.004194  0.003982  0.003739  0.003622  0.003461  0.003273  0.003200  0.003142  0.004216  0.004042  0.003896  0.003734       25.07      -12.75
   626  0.3634  0.004252  0.004037  0.003791  0.003673  0.003509  0.003318  0.003244  0.003186  0.004274  0.004098  0.003950  0.003787       25.03      -12.73
   627  0.3644  0.004315  0.004098  0.003848  0.003728  0.003563  0.003369  0.003294  0.003235  0.004337  0.004160  0.004010  0.003844       24.99      -12.71
   628  0.3654  0.004385  0.004164  0.003912  0.003791  0.003624  0.003428  0.003352  0.003292  0.004407  0.004227  0.004075  0.003908       24.95      -12.69
   629  0.3664  0.004466  0.004242  0.003988  0.003867  0.003699  0.003502  0.003426  0.003366  0.004489  0.004305  0.004152  0.003983        24.9      -12.67
   630  0.3674  0.004543  0.004317  0.004060  0.003937  0.003767  0.003569  0.003492  0.003431  0.004567  0.004380  0.004225  0.004055       24.86      -12.64
   631  0.3684  0.004609  0.004380  0.004118  0.003993  0.003820  0.003617  0.003539  0.003477  0.004633  0.004444  0.004287  0.004113       24.81      -12.62
   632  0.3694  0.004677  0.004445  0.004179  0.004051  0.003875  0.003668  0.003588  0.003525  0.004702  0.004511  0.004351  0.004174       24.76       -12.6
   633  0.3704  0.004749  0.004513  0.004243  0.004112  0.003932  0.003722  0.003640  0.003576  0.004773  0.004581  0.004418  0.004238       24.72      -12.57
   634  0.3714  0.004823  0.004585  0.004309  0.004176  0.003993  0.003778  0.003695  0.003629  0.004848  0.004653  0.004488  0.004304       24.67      -12.55
   635  0.3724  0.004908  0.004666  0.004386  0.004251  0.004065  0.003848  0.003763  0.003697  0.004933  0.004735  0.004567  0.004381       24.61      -12.52
   636  0.3734  0.004995  0.004749  0.004465  0.004328  0.004139  0.003919  0.003833  0.003765  0.005020  0.004819  0.004649  0.004460       24.56       -12.5
   637  0.3744  0.005077  0.004828  0.004539  0.004399  0.004206  0.003981  0.003893  0.003825  0.005103  0.004900  0.004726  0.004533       24.51      -12.47
   638  0.3754  0.005168  0.004915  0.004621  0.004479  0.004284  0.004055  0.003966  0.003896  0.005195  0.004988  0.004812  0.004616       24.46      -12.45
   639  0.3764  0.005263  0.005006  0.004708  0.004564  0.004365  0.004133  0.004043  0.003972  0.005290  0.005081  0.004902  0.004703        24.4      -12.42
   640  0.3774  0.005356  0.005095  0.004792  0.004645  0.004443  0.004207  0.004114  0.004042  0.005384  0.005171  0.004989  0.004787       24.34      -12.39
   641  0.3784  0.005448  0.005183  0.004874  0.004724  0.004517  0.004276  0.004182  0.004108  0.005476  0.005261  0.005076  0.004869       24.29      -12.36
   642  0.3794  0.005544  0.005275  0.004959  0.004806  0.004595  0.004349  0.004252  0.004177  0.005572  0.005354  0.005165  0.004954       24.23      -12.34
   643  0.3804  0.005642  0.005370  0.005048  0.004891  0.004676  0.004424  0.004325  0.004249  0.005671  0.005450  0.005258  0.005043       24.17      -12.31
   644  0.3814  0.005748  0.005471  0.005144  0.004984  0.004765  0.004509  0.004408  0.004330  0.005778  0.005553  0.005358  0.005138       24.11      -12.28
   645  0.3824  0.005862  0.005580  0.005248  0.005085  0.004863  0.004603  0.004501  0.004422  0.005892  0.005664  0.005465  0.005242       24.05      -12.25
   646  0.3834  0.005976  0.005689  0.005351  0.005186  0.004960  0.004696  0.004592  0.004512  0.006007  0.005774  0.005572  0.005345       23.98      -12.22
   647  0.3844  0.006085  0.005794  0.005449  0.005280  0.005050  0.004780  0.004674  0.004592  0.006117  0.005881  0.005675  0.005444       23.92      -12.18
   648  0.3854  0.006197  0.005901  0.005549  0.005377  0.005141  0.004866  0.004757  0.004673  0.006229  0.005990  0.005780  0.005544       23.85      -12.15
   649  0.3864  0.006313  0.006012  0.005653  0.005477  0.005237  0.004955  0.004845  0.004759  0.006345  0.006103  0.005889  0.005648       23.79      -12.12
   650  0.3874  0.006437  0.006132  0.005766  0.005587  0.005342  0.005056  0.004943  0.004856  0.006471  0.006224  0.006006  0.005761       23.72      -12.09
   651  0.3884  0.006562  0.006251  0.005879  0.005696  0.005447  0.005155  0.005040  0.004951  0.006597  0.006345  0.006124  0.005874       23.65      -12.05
   652  0.3894  0.006692  0.006376  0.005997  0.005810  0.005556  0.005260  0.005142  0.005052  0.006727  0.006472  0.006246  0.005992       23.58      -12.02
   653  0.3904  0.006829  0.006507  0.006122  0.005932  0.005674  0.005372  0.005253  0.005161  0.006865  0.006604  0.006375  0.006116       23.51      -11.99
   654  0.3914  0.006966  0.006639  0.006246  0.006053  0.005790  0.005483  0.005362  0.005269  0.007003  0.006738  0.006504  0.006241       23.44      -11.95
   655  0.3924  0.007104  0.006770  0.006371  0.006174  0.005906  0.005593  0.005470  0.005375  0.007141  0.006872  0.006633  0.006365       23.36      -11.91
   656  0.3934  0.007237  0.006898  0.006490  0.006289  0.006015  0.005695  0.005569  0.005472  0.007276  0.007002  0.006759  0.006484       23.29      -11.88
   657  0.3944  0.007369  0.007025  0.006608  0.006401  0.006121  0.005793  0.005664  0.005564  0.007408  0.007131  0.006883  0.006602       23.21      -11.84
   658  0.3954  0.007505  0.007155  0.006729  0.006517  0.006230  0.005895  0.005762  0.005660  0.007545  0.007263  0.007010  0.006723       23.14       -11.8
   659  0.3964  0.007646  0.007290  0.006855  0.006638  0.006345  0.006002  0.005866  0.005762  0.007686  0.007401  0.007143  0.006849       23.06      -11.76
   660  0.3974  0.007791  0.007429  0.006984  0.006762  0.006463  0.006113  0.005973  0.005867  0.007832  0.007542  0.007279  0.006979       22.98      -11.73
   661  0.3984  0.007938  0.007570  0.007117  0.006890  0.006584  0.006226  0.006083  0.005974  0.007981  0.007687  0.007418  0.007111        22.9      -11.69
   662  0.3994  0.008093  0.007718  0.007256  0.007024  0.006712  0.006347  0.006201  0.006090  0.008136  0.007837  0.007563  0.007250       22.82      -11.65
   663  0.4004  0.008254  0.007873  0.007401  0.007165  0.006847  0.006475  0.006326  0.006213  0.008298  0.007993  0.007714  0.007396       22.74      -11.61
   664  0.4014  0.008417  0.008030  0.007549  0.007308  0.006984  0.006605  0.006454  0.006338  0.008463  0.008153  0.007868  0.007544       22.65      -11.56
   665  0.4024  0.008577  0.008182  0.007692  0.007445  0.007114  0.006726  0.006572  0.006454  0.008623  0.008309  0.008018  0.007686       22.57      -11.52
   666  0.4034  0.008737  0.008336  0.007834  0.007582  0.007243  0.006847  0.006688  0.006567  0.008784  0.008465  0.008169  0.007829       22.48      -11.48
   667  0.4044  0.008902  0.008495  0.007983  0.007724  0.007378  0.006973  0.006811  0.006687  0.008951  0.008627  0.008324  0.007977       22.39      -11.44
   668  0.4054  0.009077  0.008662  0.008141  0.007877  0.007524  0.007111  0.006946  0.006820  0.009127  0.008797  0.008489  0.008135       22.31      -11.39
   669  0.4064  0.009250  0.008828  0.008295  0.008026  0.007665  0.007244  0.007075  0.006947  0.009300  0.008965  0.008651  0.008290       22.22      -11.35
   670  0.4074  0.009428  0.008999  0.008456  0.008181  0.007813  0.007383  0.007211  0.007080  0.009480  0.009139  0.008819  0.008451       22.12      -11.31
   671  0.4084  0.009615  0.009178  0.008626  0.008346  0.007971  0.007534  0.007358  0.007225  0.009669  0.009321  0.008995  0.008620       22.03      -11.26
